Country,Town,Site Name,Location,Services,Cost,Altitude,Latitude,Longitude,Website URL,Site Type,Comments
Belgium,Rijkhoven,Alden Biesen,Village/Town/City,,€0.00,,50.84159,5.51913,http://ourbumble.com/cologne-to-uk/,Mixed Parking,"Car park next to the site, possible camper area to the rear in summer but that is a guess, the area could also be for fates. The site had nice walks around the grounds."
Belgium,Tongeren,,,,€0.00,,50.7869,5.45143,http://ourbumble.com/cologne-to-uk/,Mixed Parking,"Gravel car park, Also Aire facing with services."
Belgium,Yres,,Village/Town/City,,€0.00,17,50.843534,2.896423,http://ourbumble.com/,Mixed Parking,Sports ground car park close to centre. Parking also at the sport centre around the corner.
Belgium,Ypres,,,,€0.00,3,50.843579,2.896372,http://ourbumble.com/,Mixed Parking,
Bulgaria,Sofia,,,"Fresh WaterGrey WaterBlack WaterTrashElectricWi-Fi",€10.00,536,42.743137,23.285587,http://ourbumble.com/bounce-bulgaria-bee-line-greece/,Campsite,Closest site to the centre. Essentially someone's back garden but he is very helpful and polite.
Bulgaria,,,,"Fresh WaterToilets",€0.00,328,41.968451,23.096097,http://ourbumble.com/bounce-bulgaria-bee-line-greece/,Mixed Parking,Service station parking area.
Bulgaria,Barzia,,,Fresh Water,€0.00,534,43.190006,23.158877,http://ourbumble.com/,Mixed Parking,Small parking area.
Denmark,Ribe,,Village/Town/City,"Grey WaterFresh WaterTrash",€0.00,9,55.324526,8.757599,http://ourbumble.com/another-beach-bash/,Mixed Parking,Flat car park that permits overnight parking but no camping. Only 10 minutes walk to city centre. All facilities located on the car park but no electricity.
Denmark,Hulsig,,,"TrashToilets",€0.00,0,57.639689,10.459034,http://ourbumble.com/barefoot-luxury/,Wild,"Layby just of the main road next to the sand dunes, narrow beach behind, mixed surfaces but level. Popular with cyclists. Located a couple of km before the town of Hulsig."
Denmark,Skagen,,Harbour,,€0.00,17,57.716056,10.57867,http://ourbumble.com/barefoot-luxury/,Mixed Parking,"Small car park in in between harbour and centre. Good quiet location and only couple of minutes walk to main attractions. Flat, level surface with no restrictions."
Denmark,Skagen,,,,€0.00,-0,57.715709,10.573479,http://ourbumble.com/barefoot-luxury/,Mixed Parking,"Quiet little car park near some properties and the windmill museum, 2 minutes into town and the harbour area, very quiet with parking for about 10 vehicles."
Denmark,Hojen,,Beach,,€0.00,2,57.719269,10.510115,http://ourbumble.com/barefoot-luxury/,Wild,Small ring road around the sand dunes with permitted parking. No restrictions and no fees. Straight on to the beach.
Denmark,Frederikshevn,,Village/Town/City,"Fresh WaterGrey WaterBlack WaterTrashToilets",€0.00,-56,57.39116,10.511498,http://ourbumble.com/barefoot-luxury/,Wild,Good service area with water. Fuel cheap but check out the price as what is advertised is not what you pay if you use the large fuel station.
Denmark,Flauenskjold,Flauenskjold borgerforening,Countryside,"Fresh WaterGrey WaterBlack WaterTrashToiletsElectric",€7.50,15,57.247592,10.283803,http://ourbumble.com/bluetooth-the-viking/,Campsite,"Very simple and basic campsite in an open field. Quiet and tranquil.The facilities are only average but this is reflected in a very good price of DDK50 or £5."
Denmark,Tonder,,Village/Town/City,Trash,€0.00,-7,54.930858,8.864219,http://ourbumble.com/off-for-a-bacon-butty/,Mixed Parking,"Car park located behind the old water tower/museum. Flat, clean tarmac surface, very quite at night and 500m to the town centre."
Denmark,Jellings,Viking Centre,Village/Town/City,"ToiletsTrash",€0.00,97,55.756159,9.416225,http://ourbumble.com/pigs-do-fly/,Mixed Parking,"Flat, level car park located next to the Viking centre. Free with no overnight restrictions. Toilet facilities but no camper services."
Denmark,Viborg,,Village/Town/City,Toilets,€0.00,17,56.419774,9.406366,http://ourbumble.com/pigs-do-fly/,Mixed Parking,Good little pull in spot for lunch or overnight spot. Basic facilities and nice picnic area. Located just of the main road.
Denmark,Suldrup,Himmerland,Village/Town/City,"Fresh WaterGrey WaterBlack WaterTrashToilets",€0.00,71,56.841781,9.743502,http://ourbumble.com/pigs-do-fly/,Mixed Parking & Services,Fuel station with free motorhome services. Fuel expensive but a place to stay overnight in needed.
Denmark,Saeby,Marina,Harbour,"TrashToilets",€13.00,-25,57.332066,10.532256,http://ourbumble.com/probably-the-best-palm-trees-in-denmark/,Mixed Parking,Overnight parking on the marina. Free during the day but DKK150 for overnight 10 until 7
Denmark,Frederkshavn,,Harbour,,€0.00,4,57.448619,10.550949,http://ourbumble.com/probably-the-best-palm-trees-in-denmark/,Wild,Loose stone chip ground but solid base underneath. Located Behind industrial section but tiny slip road takes you  straight on to beach. Quiet with no passing traffic.
Denmark,Frederkshavn,,Beach,Trash,€0.00,16,57.459521,10.539077,http://ourbumble.com/probably-the-best-palm-trees-in-denmark/,Mixed Parking,Car park with no restrictions and located straight on the beach. Hard surface with loose gravel
Denmark,Ostergy,Oasen,Countryside,"Fresh WaterGrey WaterTrashToiletsElectricWi-FiShowersBlack Water",€15.00,3,55.094321,8.540914,http://ourbumble.com/roaming-on-romo/,Rest Area & Services,"Excellent camperplads with spacious plots located round a small lake. Each plot has gravel parking with mown lawn area. Individual electricity posts which cost approx €1 for 12 hours. Peaceful and tranquil. Main information point has lots of leaflets about places to visit and Hannah and Carl the owners are very welcoming.  Shower and toilet facilities very clean. Washing machine and dryer located within shower block entrance. Massive warm TV room where people gather in the evening to share stories over a beer or two.As at May 2016 they were creating another camperplads just around the corner which houses 75 more spaces. 004573755200"
Denmark,Mogeltonder,,Village/Town/City,"ToiletsTrash",€0.00,10,54.941158,8.807908,http://ourbumble.com/village-fit-for-king/,Mixed Parking,Level gravel car park at the side of the church.  Clean with access to toilet facilities including fresh water
Estonia,Käsmu,,Countryside,,€0.00,28,59.61038,25.916426,http://ourbumble.com/captains-village-lahemaa-national-park/,Mixed Parking,Parking for walking trail. No restrictions
Estonia,Kasmu,,Village/Town/City,,€0.00,8,59.604403,25.92083,http://ourbumble.com/captains-village-lahemaa-national-park/,Mixed Parking,Grassy area behind the sailing club
Estonia,Kasmu,,Village/Town/City,,€0.00,5,59.600464,25.920203,http://ourbumble.com/captains-village-lahemaa-national-park/,Mixed Parking,Small town car park
Estonia,Kasmu,,Village/Town/City,,€10.00,-34,59.600487,25.919105,http://ourbumble.com/captains-village-lahemaa-national-park/,Campsite,
Estonia,Vosu,,Village/Town/City,,€0.00,-43,59.575857,25.941127,http://ourbumble.com/manors-castles-mansions-estonia/,Mixed Parking,Town square
Estonia,Vosu,,Beach,,€0.00,-41,59.580482,25.967232,http://ourbumble.com/manors-castles-mansions-estonia/,Mixed Parking,Beach parking
Estonia,Sagadi,,Village/Town/City,,€0.00,60,59.537952,26.085055,http://ourbumble.com/manors-castles-mansions-estonia/,Mixed Parking,Sagadi museum
Estonia,Sagadi,,Village/Town/City,,€0.00,54,59.512895,26.019297,http://ourbumble.com/manors-castles-mansions-estonia/,Mixed Parking,"Rear of museum parking, tarmac surface"
Estonia,Rakvere,,Village/Town/City,,€0.00,89,59.348163,26.35047,http://ourbumble.com/manors-castles-mansions-estonia/,Mixed Parking,"Rakvere castle. Parking at the side but if you follow the road up to the castle, you can park on top."
Estonia,Lasila,,Countryside,,€0.00,85,59.348178,26.350426,http://ourbumble.com/manors-castles-mansions-estonia/,Mixed Parking,Railway Manor
Estonia,Kabli,,Beach,,€0.00,1,58.014014,24.449056,http://ourbumble.com/riding-the-baltic-storms-roads-cesis/,Rest Area,Behind observation tower cracking little spot. Plenty wild life trails and good for bird watching by the beach
Estonia,Kabli,,,,€0.00,9,58.01194,24.44948,http://ourbumble.com/riding-the-baltic-storms-roads-cesis/,Mixed Parking,Beach parking.
Estonia,Kabli,,,,€0.00,44,57.964642,24.406556,http://ourbumble.com/riding-the-baltic-storms-roads-cesis/,Mixed Parking,Parking in the woods close to the beach.
Estonia,Keapi,,,,€0.00,-35,58.055869,24.446873,http://ourbumble.com/riding-the-baltic-storms-roads-cesis/,Mixed Parking,Dedicated parking with toilet facilities but no fresh water
Estonia,Laane,,Countryside,,€0.00,138,59.147124,26.438189,http://ourbumble.com/soviet-missile-bases-trail/,Wild,Visit the nuclear bunkers.
Estonia,Laane,,Countryside,,€0.00,144,59.147128,26.438151,http://ourbumble.com/soviet-missile-bases-trail/,Wild,More bunkers
Estonia,Parnu,,Lake,,€0.00,34,58.391129,24.516671,http://ourbumble.com/summer-spot-latvia/,Mixed Parking,Nice spot facing lake
Estonia,Parnu,,,,€0.00,1,58.387151,24.492084,http://ourbumble.com/summer-spot-latvia/,Mixed Parking,On the marina. Originally dedicated camper parking but when we arrived construction site.
Estonia,Tallin,,Harbour,,€20.00,6,59.466263,24.82304,http://ourbumble.com/towers-torches-towns-tallinn/,Mixed Parking & Services,"Working port with secure parking. Room for 50 campers. Supermarket and cafe within walking distance. Basic but functional. Price includes toilets, electric and services. Showers €2 extra."
Finland,Napaiiri,,,,€0.00,135,66.544219,25.851427,http://ourbumble.com/end-nightless-nights-heat-wave-santa/,Mixed Parking & Services,Santas village. Toilet and basic facilities but no grey waste. Free wifi
Finland,Napapiiri,,Lake,,€0.00,146,66.532384,25.845525,http://ourbumble.com/end-nightless-nights-heat-wave-santa/,Mixed Parking & Services,Parking area near recreation area inc outside swim area.
Finland,Turku,,Village/Town/City,,€0.00,34,60.454835,22.239592,http://ourbumble.com/flying-finn-oldest-town-finland-turku/,Mixed Parking,Parking area near Lidl.
Finland,Turku,,Village/Town/City,,€0.00,11,60.441158,22.246346,http://ourbumble.com/flying-finn-oldest-town-finland-turku/,Mixed Parking,Parking by the river.
Finland,Turku,,Village/Town/City,,€0.00,-5,60.437389,22.235615,http://ourbumble.com/flying-finn-oldest-town-finland-turku/,Mixed Parking,Castle parking with an 8 hour restriction
Finland,Turku,,Countryside,,€0.00,14,60.432995,22.180109,http://ourbumble.com/flying-finn-oldest-town-finland-turku/,Mixed Parking,Small parking area.
Finland,Turku,,Countryside,,€0.00,6,60.428221,22.178304,http://ourbumble.com/flying-finn-oldest-town-finland-turku/,Wild,Car park in pleasant area for walks etc.
Finland,Kokkola,,Beach,"TrashToiletsShowersFresh WaterBlack Water",€0.00,0,64.084375,23.413688,http://ourbumble.com/great-finnish-hospitality-longest-beach/,Wild,Small headland with water and service at the end.
Finland,Kovjoki,,Countryside,,€0.00,8,63.562543,22.72155,http://ourbumble.com/great-finnish-hospitality-longest-beach/,Rest Area,Parking spot on lake next to plastic elks
Finland,Voyri,,Countryside,,€0.00,-28,63.290793,22.369205,http://ourbumble.com/great-finnish-hospitality-longest-beach/,Mixed Parking,Picnic area
Finland,Mustasaari,,,,€0.00,30,63.157316,21.998374,http://ourbumble.com/great-finnish-hospitality-longest-beach/,Rest Area,At the side of a lake - good for bird watching
Finland,Kristiinankaupunki,,,,€0.00,41,62.206954,21.519953,http://ourbumble.com/great-finnish-hospitality-longest-beach/,Rest Area,Lay-by next to main road.
Finland,Pori,,Countryside,,€0.00,0,61.489658,21.78388,http://ourbumble.com/great-finnish-hospitality-longest-beach/,Mixed Parking,Garage and parking on river. Better than it sounds.
Finland,Rovaniemi,,Village/Town/City,,€0.00,116,66.507897,25.734185,http://ourbumble.com/santas-magic-missing-artikum-museum/,Mixed Parking,Including water and rug drying facilty
Finland,Tervola,,Countryside,,€0.00,26,66.011219,24.707245,http://ourbumble.com/santas-magic-missing-artikum-museum/,Mixed Parking,Parking area near a museum
Finland,Vikajarvi,,Countryside,"TrashToiletsFresh Water",€0.00,123,66.61958,26.185594,http://ourbumble.com/sleeping-land-bears-wolves-vikajarvi/,Rest Area & Services,Cabin with facilities for fire. Canoeing centre. Great walks all around the area.
Finland,Rovaniemen,,,,€0.00,158,66.545548,25.850319,http://ourbumble.com/sleeping-land-bears-wolves-vikajarvi/,Service Only,Parking at a fuel station
Finland,Kemi,,Harbour,,€0.00,-5,65.727706,24.555913,http://ourbumble.com/sometimes-just-enough-perfect-kemi/,Mixed Parking,Marina
Finland,,,Countryside,,€0.00,-5,65.442878,25.373133,http://ourbumble.com/sometimes-just-enough-perfect-kemi/,Rest Area,Lay-by near a roadside cafe
Finland,Lin Hamina,,Countryside,,€0.00,3,65.316182,25.373087,http://ourbumble.com/sometimes-just-enough-perfect-kemi/,Mixed Parking,Parking area at a fuel station.
Finland,Ojakyla,,Countryside,,€0.00,11,65.289356,25.372859,http://ourbumble.com/sometimes-just-enough-perfect-kemi/,Mixed Parking,Parking area at a fuel station.
Finland,,,,,€0.00,8,65.009218,25.453092,http://ourbumble.com/sometimes-just-enough-perfect-kemi/,Wild,Small marina  / boat yard
Finland,Raahe,,,,€0.00,12,64.694377,24.680143,http://ourbumble.com/sometimes-just-enough-perfect-kemi/,Rest Area,Plus nice walks in and around the woods.
Finland,Raahe,,Countryside,,€0.00,15,64.623856,24.424274,http://ourbumble.com/sometimes-just-enough-perfect-kemi/,Rest Area & Services,Parking area near a cafe.
Finland,Inari,Martinjarvi Erilli,Countryside,,€0.00,172,68.827121,27.288619,http://ourbumble.com/south-last-wilderness-europe/,Rest Area,Small tarmac parking area just set back from the road. Nice walking in the surrounding trees too.
Finland,Inari,,Lake,,€0.00,144,68.807401,27.36122,http://ourbumble.com/south-last-wilderness-europe/,Rest Area,Parking by a lake on a small side road.
Finland,Inari,Saulin Kurvi,Countryside,,€0.00,113,68.790403,27.388404,http://ourbumble.com/south-last-wilderness-europe/,Rest Area,Lay By set back from the main road.
Finland,Inari,Ohman,Lake,,€0.00,95,68.767074,27.450858,http://ourbumble.com/south-last-wilderness-europe/,Rest Area,Small parking area by the main road and next to the lake.
Finland,Inari,Ukonjarvi Info,Lake,,€0.00,127,68.743251,27.447173,http://ourbumble.com/south-last-wilderness-europe/,Rest Area,Small parking area by the main road and next to the lake.
Finland,Inari,Hirvasjarvi,Countryside,,€0.00,191,68.510163,27.515563,http://ourbumble.com/south-last-wilderness-europe/,Rest Area,Small parking area by the main road.
Finland,Inari,Savottakahila,Countryside,,€0.00,295,68.39062,27.397165,http://ourbumble.com/south-last-wilderness-europe/,Rest Area,Large tarmac parking area near a hotel.
Finland,Inari,Paukkula,Countryside,Trash,€0.00,275,68.372124,27.361381,http://ourbumble.com/south-last-wilderness-europe/,Rest Area,Lay-by next to wooded area just off main road.
Finland,Inari,,Countryside,Trash,€0.00,280,68.341729,27.336275,http://ourbumble.com/south-last-wilderness-europe/,Rest Area,Lay-bys on both sides of the road.
Finland,,,Countryside,,€0.00,284,68.208825,27.114653,http://ourbumble.com/south-last-wilderness-europe/,Rest Area,Lay-by next to wooded area just off main road.
Finland,Vuotso,,Countryside,,€0.00,226,68.10327,27.127941,http://ourbumble.com/south-last-wilderness-europe/,Wild,Nice tarmac area next to the river. Can also park on the other side of the road.
Finland,Vuotso,,Countryside,,€0.00,226,68.104444,27.124324,http://ourbumble.com/south-last-wilderness-europe/,Wild,Nice tarmac area next to the river. Can also park on the other side of the road.
Finland,Vuotso,,Countryside,"ToiletsTrash",€0.00,284,68.038522,27.047248,http://ourbumble.com/south-last-wilderness-europe/,Rest Area & Services,Parking area by the main road.
Finland,Vuotso,,Lake,,€0.00,209,67.912632,26.748873,http://ourbumble.com/south-last-wilderness-europe/,Rest Area,Parking area near lake
Finland,Peurasuvanto,,Countryside,,€0.00,182,67.798246,26.778077,http://ourbumble.com/south-last-wilderness-europe/,Wild,Dirt track next to lake but close to main road.
Finland,Sattanen,,Countryside,,€0.00,167,67.515325,26.632595,http://ourbumble.com/south-last-wilderness-europe/,Rest Area,Indicates service area on signs but no services just parking
Finland,Sodankyla,,Countryside,,€0.00,152,67.338888,26.651709,http://ourbumble.com/south-last-wilderness-europe/,Rest Area,Parking spot next to campsite
Finland,,,Countryside,,€10.00,185,67.020164,26.395638,http://ourbumble.com/south-last-wilderness-europe/,Rest Area & Services,"Cafe, petrol station and overnight stopping with electricity points for €5 extra"
Finland,Korvala,,,Toilets,€0.00,144,66.885856,26.183541,http://ourbumble.com/south-last-wilderness-europe/,Rest Area & Services,"Lay-by area with toilets, not very clean though but nice enough spot to stop over."
Finland,Korvala,,Countryside,Trash,€0.00,139,66.885465,26.18343,http://ourbumble.com/south-last-wilderness-europe/,Rest Area,Picnic spot by the main road.
Finland,,,Countryside,Trash,€0.00,120,66.725875,26.280745,http://ourbumble.com/south-last-wilderness-europe/,Rest Area,Layby
Finland,Rauma,,Harbour,,€0.00,-10,61.141999,21.480635,http://ourbumble.com/step-back-time-historic-rauma/,Mixed Parking,Good clean spot on the marina.
Finland,Rauma,,Village/Town/City,,€0.00,17,61.130792,21.512269,http://ourbumble.com/step-back-time-historic-rauma/,Mixed Parking,Stone church with overnight parking.
Finland,Laitila,,Countryside,,€0.00,1,60.894733,21.654918,http://ourbumble.com/step-back-time-historic-rauma/,Rest Area,Lay-by beside main road.
Finland,Helsinki,,Village/Town/City,,€0.00,-4,60.166834,24.979084,http://ourbumble.com/summer-time-retreat-helsinki/,Mixed Parking,Car park at side of port. Limited to 10 hours parking but ideal for parking whilst wait for ferry.
Finland,Kalajoki,,Village/Town/City,,€0.00,3,64.253747,23.940494,http://ourbumble.com/swimming-baltic-kalajoki/,Mixed Parking,Parking area at church and museum.
Finland,,,Village/Town/City,,€0.00,-3,64.231308,23.814065,http://ourbumble.com/swimming-baltic-kalajoki/,Mixed Parking,Water park
Finland,Kalajoki,,Beach,,€0.00,14,64.233892,23.788238,http://ourbumble.com/swimming-baltic-kalajoki/,Wild,Beach
Finland,Oulu,,Village/Town/City,,,,65.009421,25.454109,http://ourbumble.com/swimming-baltic-kalajoki/,Wild,Parking next to water and park area.
Finland,Kalajoki,,Countryside,,€0.00,-20,64.060665,23.654506,http://ourbumble.com/swimming-baltic-kalajoki/,Mixed Parking,Pleasant church car park with water available.
Finland,Turku,,Countryside,,€0.00,-15,60.428228,22.178722,http://ourbumble.com/tiny-islands-sunset-capital-helsinki/,Wild,"Wild / spare land Small island off Turku, Very quiet and peaceful"
Finland,Turku,,Village/Town/City,,€0.00,58,60.406486,23.215288,http://ourbumble.com/tiny-islands-sunset-capital-helsinki/,Service Only,Services
Finland,Helsinki,,Village/Town/City,,€0.00,4,60.173108,24.906837,http://ourbumble.com/tiny-islands-sunset-capital-helsinki/,Mixed Parking,Car Park.
Finland,Helsinki,,Lake,,€0.00,10,60.171969,24.903232,http://ourbumble.com/tiny-islands-sunset-capital-helsinki/,Mixed Parking,No restrictions and overlooking water
Finland,Helsinki,,Lake,,€0.00,30,60.172531,24.902171,http://ourbumble.com/tiny-islands-sunset-capital-helsinki/,Mixed Parking,Quiet spot on large boulder overlooking water. Water pump a few meters away
Finland,Naantali,,Village/Town/City,,€0.00,30,60.464287,22.022464,http://ourbumble.com/weird-wild-camping-pretty-town-naantali/,Mixed Parking,Sports complex with toilet facilites
Finland,Kokkola,,,,€0.00,-9,64.021956,23.500222,http://ourbumble.com/,Mixed Parking,Church and museum
France,Diksmuide,Ijzerdijk,Village/Town/City,Trash,€0.00,4,51.030514,2.853777,http://ourbumble.com/a-proper-belgium-bun-in-belgium/,Mixed Parking,Free car park at ijzerdijk tower. Quiet except for the odd passing train.  5 minutes walk in to the village centre
France,Baleruc les Bains,,Village/Town/City,"Fresh WaterGrey WaterBlack WaterTrashToiletsElectric",€0.00,12,43.445732,3.677563,http://ourbumble.com/beziers-to-pont-du-gard/,Rest Area & Services,Small free aire for 6 Motorhomes.  Located to one side of a large car park and within walking distance of the town and waters edge
France,Montpellier,,Village/Town/City,,€0.00,28,43.613193,3.887071,http://ourbumble.com/beziers-to-pont-du-gard/,Mixed Parking,"Flat level car park.  The car park is metered between 9-6 at €1.30 per hour.  However, if you drive right to the very end near Daikia building there are a dozen parking spots that are not metered.  Quiet at night and within easy walking distance of the city."
France,Saint Aunės,,Village/Town/City,,€0.00,58,43.644123,3.962388,http://ourbumble.com/beziers-to-pont-du-gard/,Mixed Parking,"Flat, leave and quiet along tree lined street. The parking bays are covered with trees, so plenty shelter and also good protection for the rear/front of the van.  Narbonne accessories are only a few kilometres down the road and so unfurl if you need to stay over.  Better than staying on the industrial estate."
France,Nimes ,,Village/Town/City,,€0.00,41,43.82632,4.357532,http://ourbumble.com/beziers-to-pont-du-gard/,Mixed Parking,"Nimes city centre is paid parking but this little car park is right on the edge of the paid area, so very close to city.  Off main road, so reasonably quiet but there is still passing traffic and trains"
France,Nimes,,Village/Town/City,Trash,€0.00,42,43.824272,4.354734,http://ourbumble.com/beziers-to-pont-du-gard/,Mixed Parking,"Small car park, flat and tarmaced.  Not far from centre and close by to water tap.  Reasonably quiet but the still  trains at night can be loud.  "
France,Pont du Gard,,Countryside,,€0.00,26,43.954818,4.546343,http://ourbumble.com/beziers-to-pont-du-gard/,Wild,Small piece of land which is only 2km from the Pont du Gard entrance.
France,Rouen,,Village/Town/City,Rubbish,€0.00,,49.43018,1.10566,http://ourbumble.com/here-we-go-trip-2015/,Mixed Parking,"Parking area next to the Seine river, 15 minute walk to the Cathedral. Sports facility next door."
France,Chartres,,Village/Town/City,,€0.00,,48.43467,1.49631,http://ourbumble.com/here-we-go-trip-2015/,Wild,Laybye next to the Les Bords de l'Eure campsite which is closed out of season.
France,Chartres,,Village/Town/City,"ToiletsRubbishFresh WaterGrey WaterBlack Water",€0.00,,48.43467,1.49631,http://ourbumble.com/here-we-go-trip-2015/,Campsite,Les Bords de l'Eure campsite closed in winter so cannot comment on facilities. Appeared clean & tidy though.
France,Chambord,,Village/Town/City,,€0.00,,47.61593001,0.51135,http://ourbumble.com/here-we-go-trip-2015/,Mixed Parking,"7€ to park in the day & another 10€ to park overnight although the signs indicate it would be 10€ for everything, Water taps onsite but not working as of 13/12/14. The Chateaux entrance fee is 11€ for adults."
France,Chaunay,,Village/Town/City,,€0.00,,46.20585,0.16371,http://ourbumble.com/here-we-go-trip-2015/,Mixed Parking,"Car park located next to the Chateaux, entrance price is €12.50 but free parking, no facilities but right next to the village centre."
France,Bordeaux,,Village/Town/City,,€0.00,,44.865253,0.518078,http://ourbumble.com/here-we-go-trip-2015/,Mixed Parking,"Car park located near main road so some noise, lots of space though and easy access to the shops at Carrefour."
France,Biaritz,Aire de Biaritz,Beach,"Fresh WaterGrey WaterBlack WaterRubbish",€0.00,,43.465963,1.571922,http://ourbumble.com/here-we-go-trip-2015/,Rest Area & Services,"Expensive for what it is, free electricity but no other extra facilities for your money, watch out for the machine on entry as it is easy to pay for 2 nights (max) instead of one.This Aire is only 2 minutes walk from a great beach."
France,Dorres,,Countryside,Trash,€0.00,1434,42.486905,1.944741,http://ourbumble.com/llorvorsi-to-villefranche-de-la-chalfort/,Mixed Parking,Loose gravel car park on a bit of a slope.  Nice and quiet and only 5 minutes walk to natural Roman baths.
France,Villefranche de Conflent,,Village/Town/City,Trash,€2.00,451,42.586207,2.365764,http://ourbumble.com/llorvorsi-to-villefranche-de-la-chalfort/,Mixed Parking,Small off the road car park which is idea for visiting the village.  Overnight is free and small parking fee of €2 for the day 9-19.
France,Callelongue,,Beach,Trash,€0.00,68,43.211733,5.350966,http://ourbumble.com/marseilles-to-saint-paul-de-vence/,Wild,On the tip of the headland as you look across the bay to Marseille.  Stunning location and right next door to a small fishing village.  No services but well worth it for the peace and view.
France,La Seyne Sur Mer,,Village/Town/City,,€0.00,5,43.117686,5.884093,http://ourbumble.com/marseilles-to-saint-paul-de-vence/,Mixed Parking,Small car park.  No facilities but Tarmac suface and level.  No restrictions.
France,Toulon,,Village/Town/City,,€0.00,19,43.127034,5.936636,http://ourbumble.com/marseilles-to-saint-paul-de-vence/,Mixed Parking,Toulon city centre car park that permits campers.  9-17 €2.50 flat fee but free there after.  Quite a few homeless people in and around camper parking.
France,Le Pradet,,Beach,Trash,€0.00,50,43.102025,6.016674,http://ourbumble.com/marseilles-to-saint-paul-de-vence/,Mixed Parking,Dusty gravel car park with plenty trees offering shade.  A bit uneven in places but plenty opportunity to find right spot.  Access to two beaches - one nudist and one regular.  Both pebble coves.  Nice and quiet in the evenings.
France,Hyeres,,Beach,,€0.00,-6,43.114064,6.195387,http://ourbumble.com/marseilles-to-saint-paul-de-vence/,Mixed Parking,Good little car park for free 24 stop over.  No facilities but right on beach and not far from village
France,La Londe les Maures,,Village/Town/City,"Fresh WaterGrey WaterBlack WaterTrash",€0.00,19,43.131923,6.230595,http://ourbumble.com/marseilles-to-saint-paul-de-vence/,Mixed Parking,Small free sire with basic site services . Machine was not in service but plenty space and level Tarmac surface.
