location,site_type,comments,latitude,longitude,town
Village/Town/City,"Rest Area & Services","Small secure aire for €4.50 per day and only 1.5km to town centre",43.94182200,10.91545600,Pistoia
Village/Town/City,"Mixed Parking","Large car park next to sports facility.  Flat, tarmac and free.  Local bus services to town stop on the car park but only 1.5 km to centre.  Tap to the right.",43.94313300,10.91476000,Pistoia
Village/Town/City,"Mixed Parking","Large, flat car park on one of the main roads in to Prado.  No services but Lidl is just across the way.",43.86370600,11.11421900,Prado
Village/Town/City,"Mixed Parking","On main road, 4 km to Florence and on bus route.  Good views over Florence at sunset.  Pizzeria and handful of shops nearby.",43.80036400,11.28538900,Florence
Village/Town/City,"Mixed Parking","Flat car park over looking park, lake and ducks.  Fresh water tap, drain and public toilets.  Supermarket and all day market on a Friday.",43.95716300,11.38140600,"Borgo San Lorenzo"
Countryside,"Rest Area & Services","Free aire with excellent countryside views.  Usual services plus electricity.  Very quiet.  Only 5 minutes walk in to village with plenty little shops.",44.07573800,11.61311700,Marradi
Village/Town/City,"Mixed Parking","Parking all along the road, water is available in the park opposite.",44.27127700,9.40854000,"Sestri Levante"
Countryside,Wild,"Small lay by, stunning views out to the coast, very nice small bistro nearby.",44.25357400,9.53606900,"Castiglione Chiavaresege"
Harbour,"Rest Area & Services","Free aire run by the ambulance team. Friendly and helpful and have all the information on visits to Cinque Terre.  All usual facilities and parking spots are on grass and gravel. Suggested donation €5 per day",44.10364200,9.86014700,"La Spezia"
Countryside,"Mixed Parking","Small tarmac car park ideal for stopover.  Two fresh water taps.  Nice views over hillside with mountain peaks in the distance.",44.20494200,10.09373500,Fivizzano
Countryside,"Mixed Parking","Smsll carpark with two nice little hill villages, castle and good mountain backdrop.",44.19410600,10.15149000,Codiponte
Countryside,"Mixed Parking","Small car park with stunning views over the tuscany hillside.  Flat with access to several water points.  Short stroll and you are in the village but limited supplies.",44.20023000,10.22918000,Minucciano
Countryside,"Mixed Parking","Gravel and grass car park with great views across countryside.  Very small hamlet with one bar.cafe.  Verrucole fortress only a short walk away.",44.18007200,10.33566900,Verrucole
Village/Town/City,"Mixed Parking","Good parking spot with lovely views and right in front of the city gate.  Public toilets and fresh water facilities in the corner.  Tarmac but need to find the right spot or get out the chocs for levelling.",44.14967500,10.41169400,"Castiglione di Garfagnana"
Village/Town/City,"Mixed Parking","Small level and tarmac parking space with overhead trees for shade.  In the nice part of the village with the centre just 5 minutes walk away.",44.07376200,10.47629900,Bagna
Village/Town/City,"Rest Area & Services","Sosta in the town centre, right between the old and new section of town. Cost is €10 but that includes electricity. The machines is broken so no charge at the moment. Level gravel surface with plenty water and electric points. Follow for the hospital parking signs.",44.07227600,10.48159200,Bagna
NULL,Wild,"Small parking bay at side of apartments and straight on beach",43.74776100,13.17437500,Cesano
NULL,"Mixed Parking","Parking bay with immediate access to beach and away from rail tracks",43.74633000,13.17702900,Cesano
NULL,"Service Only",NULL,44.51944700,11.21669400,NULL
NULL,"Service Only",NULL,44.96185500,9.90733700,NULL
NULL,"Service Only",NULL,45.14374500,9.63343600,NULL
NULL,"Service Only",NULL,45.39080000,9.18836100,NULL
NULL,"Mixed Parking",NULL,45.77178500,8.58056300,Angera
NULL,"Mixed Parking","Quite grass area",45.85123600,8.62108500,Monvalle
NULL,"Mixed Parking","Nice car park.",45.87707900,8.59956600,"Santa Caterina"
Lake,"Rest Area & Services",NULL,45.99622600,8.72420800,Germignaga
NULL,"Mixed Parking","Good place and pleasant town.",45.99575000,8.72423100,Germignaga
Village/Town/City,"Mixed Parking","Next to sports stadium and only 10 minutes walk to centre.  Very quiet at night.",44.40686200,12.19392700,Ravenna
Beach,"Mixed Parking","Small car park for motorhomes.  5 minutes walk to the beach or canals or cafes.  Water facility but no grey or black facilities",44.67220800,12.24213200,Camacchio
Beach,"Mixed Parking","Dedicated parking for motorhomes.  Tariff in place during high season but it is only cheap with maximum €4 for the day.  Right on the beach.",44.67243800,12.24674400,Camacchio
Village/Town/City,Wild,"Grassed area at the side of the river.  Nice, clean and quiet and only 5 minutes walk to village.  Coop at the end of the road.",44.69063200,12.18489800,"Camacchio Village"
Village/Town/City,Campsite,"Superb little campsite, close to Venice via bus stop 300m away. Heated pool, full washing facilities and washing machines. Onsite restaurant and bar with reasonable prices. All pitches are sheltered with trees. Price is €30 or €18 with asci card. Includes electricity etc.",45.48042400,12.27496800,Venice
Village/Town/City,"Mixed Parking","Car park next to Conad supermarket, 2km into the town centre, quiet at night. Also parking on the supermarket carpark opposite.",45.64890100,12.24025300,Treviso
NULL,"Mixed Parking","Large car park on the border with France, free except on Fridays. 2mins to the stoney beach, camping bungalows behind. Seems quite a popular spot with campers but plenty space.",43.79360000,7.60209400,Ventimiglia
Beach,"Mixed Parking","Car park located next to the port and over looking the ocean, €1.50 per hour or €10 for the day until 8am.",43.83707100,7.90570400,"Santo Stefano la Mare"
Village/Town/City,"Mixed Parking","Small dead end street, so restricted traffic flow.  Located on the west side of the river at the side of the marina.  Flat, level tarmac surface.",43.88379000,8.02724000,Imperia
Harbour,"Mixed Parking","On street parking plus parking in little bays just off the road.  Quiet parking spot as off the main road and at the side of the marina.  Historic town of Imperia just 5 minutes stroll.",43.88526800,8.02852300,Imperia
Village/Town/City,"Mixed Parking","Residential parking space.  Flat, tarmac and just off the main road, so reasonably quiet.  Good spot sleepover spot but no attractions nearby",44.11332400,8.23165500,"Borghetto Santo Spirito"
Countryside,"Mixed Parking","Tarmac car park for visitors to cave.  Free to use during opening times and provides great views around surrounding landscape.  Fresh water taps all around edge of car park.",44.13538900,8.20045200,Toirano
Village/Town/City,"Mixed Parking","Most of the town has no motorhome parking but this little car park just at the side of the church permits campers.  If parked in the corner you get a little patio, lawned area and your own tree. Nice and quiet.",44.12470900,8.21019200,Toirano
Beach,"Mixed Parking","Flat tarmac road with views out to see.  Good views but beach access is limited and main road is busy.",44.17867600,8.37442900,"Finale Ligure"
Harbour,Wild,"East side of Savona near to all the historical sites and the marina.  At night, quiet with only handful of passing cars and feels safe.  The west side of town near the port area feels less safe and rather run down.",44.30782300,8.48488200,Savona
Village/Town/City,"Mixed Parking","Small community car park in quiet area.  Good for stopping on way to Genoa but not much else.",44.40143100,8.67809400,Arenzano
NULL,"Mixed Parking","Lay by beside the main road, good spot for overnight with great view across the bay.",44.33042700,9.28824500,Chiavari
Village/Town/City,"Rest Area & Services","Good size aire for visiting town but expensive at €10 per day when free parking in and and around town.",45.76573700,13.36982800,Aquileia
Village/Town/City,"Mixed Parking","Municipal parking just 2 minutes from the aire with limitations and set amongst pruned hedges and trees.  Flat and quiet. You can use the aire services near by for black, grey and fresh for free. (Image of Aire)",45.76343200,13.36696000,Aquileia
Village/Town/City,Wild,"Grass embankment located right on the side of the canal.  Great views over boats, sea and town.",45.68117200,13.38840900,Grado
Village/Town/City,"Rest Area & Services","Camper parking at rear of town.  Aire on either left of the road s barriered with usual camper services.clean and tidy",45.68172200,13.41203100,Grado
Village/Town/City,"Mixed Parking","Camper parking adjacent to the aire.  No barrier and no services but parking permitted.",45.68175400,13.41202400,Grado
Beach,"Mixed Parking","Flat parking space right on sea front and close to castle.  No restrictions",45.70098700,13.72219300,Miramare
Harbour,"Mixed Parking","Flat car parking with spaces for campers.  Free from 7 until 9.  States no overnight parking but most Italian campers ignore.  Nice quiet spot with marina.  To right Miramare castle and left Trieste city.",45.68217400,13.75122100,Trieste
Village/Town/City,"Mixed Parking","Small car park.  Tarmac and off main road.  5 minutes walk to the park and 10 minutes to the city",46.06332300,13.21904200,Udine
Harbour,"Mixed Parking","Street parking with no restrictions right next to marina and harbour at the bottom of the foot bridge which takes you straight in to old town.",37.10835400,-8.67346200,Lagos
Countryside,Wild,"Good wild camping spot on edge of the reservoir,  very peaceful with the exception of odd cow bell.",37.22361400,-8.72612500,Corsino
Village/Town/City,"Rest Area & Services","Big parking space with no facilities, located at bottom of old town and right next to river. Good view up to the castle and also looking back towards the surrounding countryside.",37.31645900,-8.80340300,Aljezur
Beach,Wild,"Lay-by with excellent views over headland.  minutes walk from beach and town. Coastal road just right of road 1003.",37.34723400,-8.84943600,"Praia da Amoreira"
Beach,Layby,"Superb view on to little cove and very popular with surfers.",37.29585400,-8.86613500,Arrifana
Beach,Wild,"Loads of little lay-by to pull over and admire the sweeping coastline. sand dunes and coastal paths to beach.",37.19681500,-8.90791200,"Praia da Borderia"
Beach,"Mixed Parking","Large sandy car park with great access to beach.  good for fishing and surfing. Sand dunes protect the car park from Atlantic winds.",37.19311100,-8.90283500,"Praia da Borderia"
Beach,Wild,"Dirt track all around the headland. Nice and quiet and great vantage point for a good sunset.",37.19377500,-8.91385700,"Praia do Borderia"
Beach,"Mixed Parking","Car park right in the beach with rolling hills behind. Massive beach cove which is popular with surfers in summer.  There are two car parks - low one and high one. The high one indicates campers allowed and to be fair it is were most of the campers park but don't park here as police often move people off. The lower car park seems to be the one that is ok to camp on. As we passed the higher car park we noticed the 'no Motorhome' sign had been sprayed blue by someone hence why people thought it was ok to park on.",37.16879400,-8.90074800,"Praia do Amado"
Beach,Wild,"Spare land at the edge of Tavira overlooking the Ilha de Tavira. There are a couple of good places to tuck in and around the castle ruins and also little lay-bys for parking on the lane itself. Great for bird watchers and strolls along beach. Small Marina a few meters away.",37.12053600,-7.62042100,"Ilha do Tavira"
Beach,Wild,"Spare land that runs behind the football ground.  Hard, sandy ground. Slightly elevated position, so good views over estuary.  Few minutes walk in to the town where you will find plenty cafes and bars.  if you need water then you need to go to fisherman huts, it's cost €2 to fill up. The huts are located at beginning of town, near the bridge and the wafer point is right on the corner.",37.09758700,-7.66770200,"Santo Luzia"
Beach,"Mixed Parking","Car park which tolerates Motorhomes.  No parking 2 Sunday and 1 Thursday in each month, local market.  there is a campsite behind the car park.  Car park right on wetlands and beach area.",37.05233500,-7.74379500,Fuseta
Beach,Wild,"Quiet, secluded beach location.  Access is down a country lane that can be slightly bumpy in sections.  Right at the end of the lane is a restaurant with private car parking.  You can park on the lane or in one of the lay-bys. Beautiful stretch of beach with little lagoon just behind the dunes, ideal for bird watching.  Fresh water and showers at the end of the boardwalk.",37.05635000,-8.07719700,"Praia do Trafel"
Beach,Wild,"A hidden gem! Right on the beach with stunning views out to the ocean.  Hard sandy surface but no facilities.  Lidl and services not far along main road.  Small wooden area to the rear and watering hold with birds and wildlife to west.",37.05799300,-8.08129600,"Praia do Almargen"
Beach,"Rest Area & Services","A large car park with basic service facilities.  Hard, flat surface and very clean.  Right in the beach and next to few restaurants.  Very quiet in the evening.Unfortunately we didn't get any pictures because in the morning we decided to leave.  Lots of talk about people receiving fines from the police, as it is only a car park and no overnight camping permitted.  With all the discussions and people taking random photos we decided to not chance it and move on.",37.10073500,-8.35433400,"Praia dos Pescadores"
Beach,Wild,"One of the most beautiful wild camping spots we've discovered on the Algarve.  As you approach you can see small sandy car park to the left, which you can park on or alternative, take a left down the sandy track and pick you own secluded spot with little garden.",37.09253300,-8.41228200,"Praia dos Marinah"
Beach,"Mixed Parking","Site located directly in front of the bridge connecting to Faro, mixed parking but campers are allowed, the sanitation services are to the right of the car park next to the toilets. The pretty beach is very long but narrow and will get very busy in the summer time. Nice views also looking back toward the mainland. Parking areas are also located to the left of the car park after approx 500m.",37.00840900,-7.99484600,Faro
Village/Town/City,"Mixed Parking","Parking next to the cemetery, great views out into the surrounding hills. There is also parking on the other side of the village next to the bus parking area and toilets.",37.23372100,-8.18132800,Alte
Beach,"Mixed Parking","Site is located about 10km East of Silves. Level parking area next to the reservoir wall and a derelict restaurant. No facilities but a great vantage point overlooking the Barragem do Arade. Lots of scenic walks in the area too.",37.23928200,-8.37774100,Silves
Village/Town/City,"Rest Area & Services","This aire is next to the river and very close to the centre and supermarkets, the fresh water is located near the children's play area and is a drinking fountain, waste is emptied into a grid near the entrance building.",37.18640700,-8.44539600,Silves
Beach,"Mixed Parking","Site located directly at the end of Faro airports runway, gravelled parking area, peaceful as the planes are not too loud. Looks out towards Isla de Faro. Water and toilet facilities on the other side of the bridge. Good for plane spotting.",37.01527200,-7.98545500,Faro
Village/Town/City,"Rest Area & Services","Free Aire in middle of the town. The town aire only has spaces for four Motorhomes but there is a massive car park right behind the aire with plenty parking space, hard gravel and grass surface.  Fresh, grey and black water facility and toilet block which are maintained by the town on a daily basis.  Supermarket, bank and shops within walking distance.",37.25440700,-8.28449800,Messines
Village/Town/City,"Rest Area & Services","Small aire with room for about 8 vans overlooking the town.  Gravel, level surface with simple service area.  Nice and quiet with the exception of local chickens and cockerels.",37.47505100,-7.47450700,Alcoutim
Lake,"Mixed Parking","Small stone layby with couple of picnic tables with fantastic view point over Gardiana river.  No facilities but only 5 minutes drive to Alcoutim village and aire.  Great place if you like quiet locations with options for fishing on the river.",37.42260000,-7.45466400,Alcoutim
Countryside,"Rest Area & Services","Small Aire set right in the middle of the countryside.  Elevated position, so beautiful 360 views across Portugal, river Gardiana and Spanish boarder.  Nice flat, hard ground with picnic area to the front and rear.  Bar and cafe area with reasonable prices.  Price includes water and wifi.  Electricity €2.50 per night.  Washing service €5. Discount offered for longer stay ranging from €12.50 for 3 days to €75 for 30 days.  Very clean and friendly.",37.33174200,-7.46848400,Alcaria
Harbour,"Rest Area & Services","Very large aire with barrier system.  Hard surface of broken bricks and stones, which is good for drainage but makes the overall aire quite dirty.  All usual facilities and right on harbour front.  Lidl within walking distance.",37.19885600,-7.41526100,"Vila Real da San Antonio"
Village/Town/City,"Mixed Parking","Gravel surface and pretty level.  Locate off main road, so can be quite noisy.  Good view of castle and fort and within easy walking distance of town bars and cafes.",37.21907300,-7.44457900,"Castro Marim"
Village/Town/City,"Rest Area & Services","Free aire with Euro water and waste (token required). Tokens can be purchased from all main garages and some local stores. Small site for around 20 campers and located on the main street into Casto Marim, it's within easy access of the own and castle.  Parking also in the main town across the street with a gravel surface also pretty level. Good view of castle and fort and within easy walking distance of town bars and cafes.",37.21977800,-7.44410900,"Castro Marim"
Beach,"Mixed Parking","Gravek surface car park in between beach and forest.  Nice and quiet.",37.17478900,-7.42140600,"Praia Santo do Antonio"
Beach,Wild,"Flat, sandy, open land at side of the beach a few metes away from small beach / restaurant car park. Two restaurants open during season and located straight on the beach.  Small mini market 500m back towards main road.",37.17743300,-7.47170800,"Praia do Cabeço"
Beach,Wild,"Flat concrete base good for a dozen wild camping spots.  Stones throw to beach and very quiet.",37.17790800,-7.47004800,Retur
Beach,Wild,"Open land on elevated but slightly sloping ground. Car park at top and grass slop at the side. Wonderful sea view and nice little village.",37.15834500,-7.54601800,"Cacela Velha"
Beach,"Mixed Parking","Spare land/Car park located right next to the beach, Very close to a campsite and behind a hotel so probably only useful out of season. Bar/restaurant close by and water via a shower faucet about 200m away.",37.18000000,-7.44633000,"Monte Gordo"
Beach,"Mixed Parking","Spare land/Car park located right next to the beach, Bar/restaurant close by but may not allow overnight camping in peak periods.",37.17679000,-7.47169000,"Praia da Cabeço"
Beach,"Rest Area & Services","Great location straight on to the beach. Secure aire with barrier entry and exit which is manned 8 til 8 by friendly staff. €4.50 for 24 hours which includes water and wifi. Electric extra €2.50 for 12 hours.  Aire holds around 80 vans and only one water empty/fill up station, so can get quite busy in peak times.  Few bars and restaurants nearby and local retailers drive through the Aire every morning selling bread, fruit, vegetables etc. even a laundry service every afternoon. Good value for your money.",37.16444000,-7.52145000,"Manta Rota"
Harbour,"Mixed Parking","Public car park with great views over the harbour. no signs to say you can or can't stay overnight.",37.15405300,-7.55335000,Fabrica
Beach,Layby,"Waste land at the side of marshland looking out to Ilha de Armona. Good place to stopover but watch out for the Mosquitos which bred in the stagnant waters.",37.03679000,-7.79759000,Armona
Village/Town/City,"Mixed Parking","Good central car park for visiting the town. No facilities and no charge.",37.01185000,-7.93165000,Faro
Beach,Layby,"Brilliant free parking spot right on head land over looking Albufeira Coast. Access to beach via little coastal path. Restaurant open during peak times.  Access road can sometimes be a little bumpy, so need to drive with caution.",37.07953000,-8.27778000,"Praia de Arrifes"
Village/Town/City,"Rest Area & Services","Massive Aire not far from the beach. €3 for 12 until 12 noon parking. €2 for electric and €2 for 100 litres of fresh water.",37.07331100,-8.07696400,"Fonte Santa"
Beach,"Rest Area & Services","Massive spare land on the edge of town. Sandstone under foot so may be a bit boggy if wet. Costs are 4.50€ per night and electricity is 2.5€. Water services are quite good with sinks also available. Located on the edge of the beach. The village and the marina only 5 minutes walk. Great place to watch parachute landings at sunset.",37.12493700,-8.59405200,Alvor
Beach,Wild,"As you approach Benagil, keep to the road west of the ravine.  You drive through some small villas and at the end of the Tarmac road continue on the dirt track.  Within a few meters you are at your wild camping spot with fantastic views out to the ocean and over the sandy cove.  Lots of little bushes and trees to nestle yourself in and find level ground and shelter from sea breeze.",37.08661900,-8.42986800,Benagil
Beach,Wild,"As you pass through the village of Benagil continue on the dirt track and head down in to the cove on the west side.  The cove at Carvelho is very pretty.  You can park a Motorhome on the sandy path but you will need to get the chocs out but it is well worth it.  The cove has a few caves and unusual walk ways with plenty coastal gardens to meander through.",37.08661500,-8.43133800,"Praia do Carvelho"
Village/Town/City,"Mixed Parking","Loule football ground with hard, flat but dusty surface.",37.13309500,-8.01720200,Loule
Beach,"Mixed Parking","Quiet little car park right next to the beach. The town is just a couple of minutes walk away.",37.52216000,-8.78615700,Odemira
Beach,"Mixed Parking","Parking permitted on roadside with excellent views over the estuary and headland.  Public toilet facilities available in season. Water tap available year round.",37.72294800,-8.78728400,"Vila Nova do Milafontes"
Beach,"Rest Area & Services","Free aire just behind the main square. Space for around 10 vans on the aire with option for parking at the side in layby. Harbour and beach only minutes away.",37.85189800,-8.78896800,"Porto Covo"
Beach,"Mixed Parking","Car park on headland which is well sheltered due to sand dunes. Pretty views out to sea and looking back towards Porto Covo and its coastline.  Couple of cafes and surf school open in high season.",37.89727700,-8.79769100,"Porto Covo"
Beach,"Mixed Parking","Fresh water tap just outside beach cafe. Lovely long beach and great for sunset.",38.11430300,-8.79735300,"Costa de Santo Andre"
Lake,"Mixed Parking","Small sandy car park at side of the lagoon. Couple of cafe bars to the rear.  Toilet and water tap a few metres away.  Great for bird lovers.",38.11329300,-8.79666200,"Costa da Santo Andre"
Harbour,"Mixed Parking","Harbourside Carpark about 1.5km from the main sites of the town on the edge of the commercial harbour. Space for about 20 vans but it is mixed parking. Large park area to the rear. Fresh water tap inside the fish market, can be noisy in the morning due to the fishermen.",38.51843300,-8.90332200,Setubal
