name,city,type
"Zona d'acampada sa Font Coberta","Palma de Mallorca",camp
MIFO,"Palma de Mallorca",camp
WC,"Palma de Mallorca",camp
"Zona d'acampada Marjanor IBANAT","Palma de Mallorca",camp
"Zona d'acampada Es Pixarells IBANAT","Palma de Mallorca",camp
Kemping,"Palma de Mallorca",camp
"Camp d'en Torrella","Palma de Mallorca",camp
Pixarells,"Palma de Mallorca",camp
"Verein der Freunde Mallorcas","Palma de Mallorca",camp
"Càmping Muro","Palma de Mallorca",camp
"El Llano","Palma de Mallorca",camp
"Motorhome park for free","Las Palmas de Gran Canaria",camp
"Camping Tasartico","Las Palmas de Gran Canaria",camp
"Motorhome Park","Las Palmas de Gran Canaria",camp
"Camping Playa de Vargas","Las Palmas de Gran Canaria",camp
"Motorhome and car free parking","Las Palmas de Gran Canaria",camp
"Paying motorhome area","Las Palmas de Gran Canaria",camp
"Zona de acampada Llanos de la Pez","Las Palmas de Gran Canaria",camp
"Club de Camping y Caravaning Gran Canaria","Las Palmas de Gran Canaria",camp
"Camping El Pinillo","Las Palmas de Gran Canaria",camp
"Motorhome and car park","Las Palmas de Gran Canaria",camp
"Zona de Acampada Morro De Santiago","Las Palmas de Gran Canaria",camp
"Camping Temisas","Las Palmas de Gran Canaria",camp
"Llanos del Salado","Las Palmas de Gran Canaria",camp
"Camp the Garañón","Las Palmas de Gran Canaria",camp
"Zona De Acampada Salinetas","Las Palmas de Gran Canaria",camp
"Llanos de La Mimbre","Las Palmas de Gran Canaria",camp
"Bungalows Vista Dunas","Las Palmas de Gran Canaria",camp
"Parking caravanas","Las Palmas de Gran Canaria",camp
"Alto Del Pozo","Las Palmas de Gran Canaria",camp
"Camping Angosto",Bilbao,camp
"Camping & Bungalows Leagi",Bilbao,camp
"Camping & Bungalows Portuondo",Bilbao,camp
"Camping La Barguilla",Bilbao,camp
"Camping Saturraran",Bilbao,camp
"Camping Galdona",Bilbao,camp
"Camping Arrien Gorliz",Bilbao,camp
"Camping Laredo",Bilbao,camp
"Camping Playa de Ris - Noja",Bilbao,camp
"Camping Santa Elena",Bilbao,camp
"Camping La Isla",Bilbao,camp
"Camping Carlos V",Bilbao,camp
"Camping Sopelana",Bilbao,camp
"Camping Playa Arenillas",Bilbao,camp
"Plaza de aparcamiento de Caravanas",Bilbao,camp
"Ariño kamper area",Bilbao,camp
CAMPER,Bilbao,camp
"Endai kanpina",Bilbao,camp
"Camping de Castro",Bilbao,camp
"Camping El Brezal",Bilbao,camp
"Camping Florantilles",Alicante,camp
"Camping Racó",Alicante,camp
"Camping Costa Blanca",Alicante,camp
"Cámping Calpe Mar",Alicante,camp
"Camper Park San Fulgencio - Camping",Alicante,camp
"Camping Bon Sol",Alicante,camp
"Camping El Jardín",Alicante,camp
"Camping Cap Blanch",Alicante,camp
"Camping Puig Campana",Alicante,camp
"Càmping Sol de Calp Austral",Alicante,camp
"Camping Benidorm",Alicante,camp
"Camping Armanello (Benidorm)",Alicante,camp
"Camping Alicante Imperium",Alicante,camp
"Sheppards Rest",Alicante,camp
"Camperpark Vista Montaña",Alicante,camp
"Camping el Torres",Alicante,camp
"Camperpark Costa Blanca S.L.",Alicante,camp
"Camping Mariola",Alicante,camp
"Camping La Torreta Benidorm",Alicante,camp
"Càmping Les Palmeres",Alicante,camp
"Camping Los Villares Sierra de Córdoba",Córdoba,camp
"Camping Carlos III",Córdoba,camp
"Camping La Albolafia",Córdoba,camp
"Camping La Campina",Córdoba,camp
"Camping Puente Nuevo",Córdoba,camp
"Kampaoh Córdoba",Córdoba,camp
"explotaciones familiares los arenales",Córdoba,camp
"Camping Municipal",Córdoba,camp
"Carretera para camping la breña",Córdoba,camp
"Complejo de Área Recreativo El Castillejo",Córdoba,camp
"Domo Glamp DCC",Córdoba,camp
"Área recreativa y zona de acampada controlada "Monte Público Los Ruedos".",Córdoba,camp
"Nave Jose Antonio Quero Valenzuela",Córdoba,camp
"Camping El Astral",Valladolid,camp
"Camping Cubillas",Valladolid,camp
"Camperplace Palencia",Valladolid,camp
"La Campa de Villalar",Valladolid,camp
"Area De Servicio Autocaravanas Castrodeza",Valladolid,camp
"Area de Autocaravanas de Rueda",Valladolid,camp
"Área para Autocaravanas",Valladolid,camp
"Area De Servicio Autocaravanas Husillos",Valladolid,camp
"Area de autocaravanas",Valladolid,camp
Wohnmobilstellplatz,Valladolid,camp
"Camping Angosto",Vitoria-Gasteiz,camp
"Urbasa Camping",Vitoria-Gasteiz,camp
"Gran Camping Zarautz",Vitoria-Gasteiz,camp
"Camping Acedo | Camping en Navarra",Vitoria-Gasteiz,camp
"Etxarriko Kanpina",Vitoria-Gasteiz,camp
"Camping el Roble Verde",Vitoria-Gasteiz,camp
"Orio Kanpina",Vitoria-Gasteiz,camp
"Kampaoh Zumaia",Vitoria-Gasteiz,camp
"Camping Bañares",Vitoria-Gasteiz,camp
"Camping De La Rioja",Vitoria-Gasteiz,camp
"Camping Puerta de Los Montes Obarenes",Vitoria-Gasteiz,camp
"Camping La Playa",Vitoria-Gasteiz,camp
"Plaza de aparcamiento de Caravanas",Vitoria-Gasteiz,camp
"Ariño kamper area",Vitoria-Gasteiz,camp
"Camping Fuenmayor",Vitoria-Gasteiz,camp
"Kampaoh Sierra de Urbasa",Vitoria-Gasteiz,camp
"Camping Artaza-Urederra",Vitoria-Gasteiz,camp
"Camping Navarrete",Vitoria-Gasteiz,camp
"Ibaia kanpina",Vitoria-Gasteiz,camp
"Camping de Haro",Vitoria-Gasteiz,camp
"Agro Camping Invernaderito","Santa Cruz de Tenerife",camp
"Chio Motorhome & Camping Area","Santa Cruz de Tenerife",camp
"Camping Caleta del Sordo","Santa Cruz de Tenerife",camp
"Campamentos Punta Del Sordo","Santa Cruz de Tenerife",camp
"Camping Punta del Hidalgo","Santa Cruz de Tenerife",camp
"Campamento Madre del Agua","Santa Cruz de Tenerife",camp
"Camping Nauta","Santa Cruz de Tenerife",camp
"Zona de acampada "Fuente del Llano"","Santa Cruz de Tenerife",camp
"Zona de Acampada San Miguel de Tajao","Santa Cruz de Tenerife",camp
"Zona De Acampada De Las Raíces","Santa Cruz de Tenerife",camp
"El Lagar","Santa Cruz de Tenerife",camp
"Área de Acampada La Caldera","Santa Cruz de Tenerife",camp
"Open Hearts","Santa Cruz de Tenerife",camp
"Zona De Acampada Las Calderetas","Santa Cruz de Tenerife",camp
"Zona De Acampada De La Tahona","Santa Cruz de Tenerife",camp
"Las Hayas","Santa Cruz de Tenerife",camp
"Barranco de la Arena","Santa Cruz de Tenerife",camp
"Zona camping del Puertito de Güiimar","Santa Cruz de Tenerife",camp
"AREA DESCANSO AUTOCARAVANAS CAMPER PARKING AREA","Santa Cruz de Tenerife",camp
"TanMper Canarias","Santa Cruz de Tenerife",camp
"Camping Torre del Mar",Granada,camp
"Camping Reina Isabel",Granada,camp
"Villa Del Mar  Camping Nerja",Granada,camp
"Camping El Pino en Málaga Costa del Sol",Granada,camp
"Camping Ruta del Purche",Granada,camp
"Camping Granada",Granada,camp
"Camping Alto de Viñuelas",Granada,camp
"Area de Autocaravana (Aire)",Granada,camp
"Camping Castillo de Baños",Granada,camp
"Camping Laguna Playa",Granada,camp
"Camping Trevélez",Granada,camp
"Camping Las Lomas",Granada,camp
"NUEVO CAMPING LA HERRADURA",Granada,camp
"Camping Cortijo San Miguel (Nerja)",Granada,camp
"Camping Granada - Los Bermejales",Granada,camp
"Camping Órgiva",Granada,camp
"Camping Tropical",Granada,camp
"El Balcon de Pitres",Granada,camp
"Camping La Herradura",Granada,camp
"Camping Cerro Gordo",Granada,camp
"Camping Villaviciosa Asturias",Oviedo,camp
"Camping Perlora",Oviedo,camp
"Camping Buenavista in Perlora",Oviedo,camp
"Camping el Urogallo",Oviedo,camp
"Somiedo Camper Park",Oviedo,camp
"Kampaoh Deva",Oviedo,camp
"Camping Río Luna",Oviedo,camp
"El Pedreru",Oviedo,camp
"Camping Playa Spain",Oviedo,camp
"Camping Los Arrudos Redes Aventura Caleao",Oviedo,camp
"Camping Las Nieves",Oviedo,camp
"Camping Yolimar",Oviedo,camp
"Camping Deva Gijon",Oviedo,camp
"Kampaoh Castrillón",Oviedo,camp
"Parque Antonio Ortega",Oviedo,camp
"Camping El Rinconín",Oviedo,camp
"Camping Area di sosta camper Banugues-Gozon",Oviedo,camp
"Camping Los Pradones",Oviedo,camp
"Camping Bahinas",Oviedo,camp
"Camping La Pomarada de Somiedo",Oviedo,camp
"Camping As Cabazas","A Coruña",camp
"Camping Aguiar","A Coruña",camp
"Camping A Lagoa","A Coruña",camp
"Camping San Pedro - Sada","A Coruña",camp
"Mar y campo","A Coruña",camp
"Camping O Parral","A Coruña",camp
"Velo Mar Camping en A Coruña","A Coruña",camp
"Camping Fragadeume","A Coruña",camp
"Camping As Nevedas","A Coruña",camp
"Camping Costa da Morte","A Coruña",camp
"Camping Green Village ( As tres meigas )","A Coruña",camp
"camping Ber","A Coruña",camp
"Área de servicio para autocaravanas y caravanas","A Coruña",camp
"Camping Balcobo","A Coruña",camp
"Camping Bastiagueiro","A Coruña",camp
"Camping Martisol","A Coruña",camp
"Camping Castro","A Coruña",camp
"A coruna","A Coruña",camp
"Campamento Turístico Brandoñas (Casa rural Bungalows Parking de Caravanas y Camping )","A Coruña",camp
"Camping Perbes","A Coruña",camp
"Camping Ezcaba",Pamplona,camp
"Urbasa Camping",Pamplona,camp
"Eco Camping Arbizu",Pamplona,camp
"Camping Acedo | Camping en Navarra",Pamplona,camp
"Etxarriko Kanpina",Pamplona,camp
"Camping Baztan",Pamplona,camp
"Nomading Camp Navarra",Pamplona,camp
"Camping Ariztigain Navarra",Pamplona,camp
"Camping El Molino",Pamplona,camp
"Camping Lizarra",Pamplona,camp
"Camping Aritzaleku",Pamplona,camp
"Domaine les chalets Larlapean Camping Pays Basque",Pamplona,camp
"Camping IZARPE Kanpina",Pamplona,camp
"Camping Bachoc à la Ferme Pays Basque",Pamplona,camp
"Kampaoh Mendigorría",Pamplona,camp
"Aralar Kanpina",Pamplona,camp
"Camping Irouleguy",Pamplona,camp
"Camping du fronton",Pamplona,camp
"Camping Iturbero",Pamplona,camp
"Camping El Real",Pamplona,camp
"Camping Los Escullos",Almería,camp
"Camping Alpujarras",Almería,camp
"Camping La Garrofa",Almería,camp
"Camping Roquetas",Almería,camp
"Camping Los Gallardos",Almería,camp
"Camping Las Menas",Almería,camp
"Camping Cabo de Gata",Almería,camp
"Camping Suspension Bridge",Almería,camp
"Camping Las Vegas",Almería,camp
"Kampaoh Los Escullos",Almería,camp
"Roquetas de Mar Camperspot",Almería,camp
"Camp y Niño",Almería,camp
"wecamp Cabo de Gata",Almería,camp
"Camping Albergue Tau",Almería,camp
"Camping Mar Azul Balerma",Almería,camp
RoucettassattecuoR,Almería,camp
"Camping La Molineta",Almería,camp
"Los Gallardos Leisure",Almería,camp
Tabernas,Almería,camp
"Little Texas",Almería,camp
"Camping Igara de San Sebastián","San Sebastián",camp
"Camping Juantcho","San Sebastián",camp
"Gran Camping Zarautz","San Sebastián",camp
"Eco Camping Arbizu","San Sebastián",camp
"Camping & Bungalows Leagi","San Sebastián",camp
"Sunêlia Berrua","San Sebastián",camp
"Etxarriko Kanpina","San Sebastián",camp
"Camping Inter Plages","San Sebastián",camp
"Camping Ferme Erromardie","San Sebastián",camp
"Camping Baztan","San Sebastián",camp
"Camping Oliden","San Sebastián",camp
"Camping Saturraran","San Sebastián",camp
"Orio Kanpina","San Sebastián",camp
"Campéole Ondres Plage","San Sebastián",camp
"Camping Itsas Mendi","San Sebastián",camp
"Camping Galdona","San Sebastián",camp
"Kampaoh Zumaia","San Sebastián",camp
"Camping Ariztigain Navarra","San Sebastián",camp
"Camping Hiriberria","San Sebastián",camp
"Camping la Bord de Mer","San Sebastián",camp
"Bonterra Resort Camping - Bungalows","Castellón de la Plana",camp
"Valencia Camper Park","Castellón de la Plana",camp
"Camping Malvarrosa de Corinto","Castellón de la Plana",camp
"Camping Sierra Calderona","Castellón de la Plana",camp
"CAMPING MONMAR","Castellón de la Plana",camp
"Camping Los Naranjos","Castellón de la Plana",camp
"Bravoplaya Camping Resort","Castellón de la Plana",camp
"Camping Azahar","Castellón de la Plana",camp
"Camping Ferrer","Castellón de la Plana",camp
"Càmping Ribamar","Castellón de la Plana",camp
"Camping Alegría del Mar","Castellón de la Plana",camp
"Camping Edén","Castellón de la Plana",camp
"Camping Tauro","Castellón de la Plana",camp
"Los Olivos de Xivert - Camping Natura Park","Castellón de la Plana",camp
"Camping Puzol Mediterráneo","Castellón de la Plana",camp
"Camping Puzol - Camping Playa","Castellón de la Plana",camp
"Nomadic Valencia Camping Car","Castellón de la Plana",camp
Camping,"Castellón de la Plana",camp
"Camping Villa De Viver","Castellón de la Plana",camp
"Camping Torre la Sal","Castellón de la Plana",camp
"Vilanova Park",Badalona,camp
"Camping BARCELONA",Badalona,camp
"Camping 3 Estrelles",Badalona,camp
"Camping Resort Els Pins",Badalona,camp
"Càmping Masnou",Badalona,camp
"Camping Estrella de Mar",Badalona,camp
"Camping Globo Barcelona",Badalona,camp
"Càmping Bon Repòs",Badalona,camp
"Camping Bellsol",Badalona,camp
"Camping El Garrofer",Badalona,camp
"CAMPING ROCA GROSSA & BUNGALOW",Badalona,camp
"Càmping Enmar",Badalona,camp
"Càmping Blanes",Badalona,camp
"Camping Vilanova Y La Geltru",Badalona,camp
"Montserrat Campsite",Badalona,camp
"Camping Capfun Tordera-Nacions",Badalona,camp
"Camping Cal Ferraguet (CAMPING PRIVAT)",Badalona,camp
"Camping Les Piscines de Montseny",Badalona,camp
"Càmping Roca",Badalona,camp
"Camping Touring Mataró",Badalona,camp
"Cayuco Camping Baru",Cartagena,camp
"Eco Camping Lolita Islas del Rosario",Cartagena,camp
"Camping La Villa Marina",Cartagena,camp
"Club Camping Isla Mar",Cartagena,camp
"Playa Langosta",Cartagena,camp
"Bubble Sea Glamping",Cartagena,camp
"EcoCamping Bosque encantado",Cartagena,camp
"PLAYA LA COBE",Cartagena,camp
"Camping El Eden",Cartagena,camp
"manzanillo playa",Cartagena,camp
"La Pradera Casa Finca",Cartagena,camp
Bae,Cartagena,camp
"Finca Jardin Des Délices",Cartagena,camp
"Colinas Verdes",Cartagena,camp
Chirimia,Cartagena,camp
"PRIMAVERA GLAMPING",Cartagena,camp
"LAS ORQUIDEAS",Cartagena,camp
"Playa del Alma Glamping & Camping",Cartagena,camp
"Ciénaga de Rabón",Cartagena,camp
"Finca la Milagrosa",Cartagena,camp
"Camping Ametlla",Tarragona,camp
"Vilanova Park",Tarragona,camp
"Camping La Pineda de Salou",Tarragona,camp
"Camping Caledonia",Tarragona,camp
"Camping & Resort La Torre del Sol",Tarragona,camp
"Camping Prades Park",Tarragona,camp
"Camping Trillas Spa Tamarit",Tarragona,camp
"Tamarit Beach Resort",Tarragona,camp
"Camping Mar De Cunit",Tarragona,camp
"Camping Montsant Park",Tarragona,camp
"Camping Miramar",Tarragona,camp
"Càmping Platja i Festa",Tarragona,camp
"Camping Montblanc Park Capfun",Tarragona,camp
"Camping Platja Vilanova",Tarragona,camp
"Camping Cala d'Oques",Tarragona,camp
"Camping la Rueda",Tarragona,camp
"Camping Oasis Mar",Tarragona,camp
"Camping Arc de Bara",Tarragona,camp
"Campings Anwb",Tarragona,camp
"Càmping Mas Albà",Tarragona,camp
"Parque de Campismo de Vila Cha","Vila Nova de Gaia",camp
"ORBITUR Canidelo","Vila Nova de Gaia",camp
"GarfePark Camping","Vila Nova de Gaia",camp
"Orbitur - Angeiras","Vila Nova de Gaia",camp
"Parque Municipal de Campismo","Vila Nova de Gaia",camp
"CAMPING PARK FÃO","Vila Nova de Gaia",camp
"Camping Park of Furadouro","Vila Nova de Gaia",camp
"Camping Braga","Vila Nova de Gaia",camp
"Parque de Campismo de Vila do Conde","Vila Nova de Gaia",camp
"Parque de Campismo Marisol","Vila Nova de Gaia",camp
"Camping Medas","Vila Nova de Gaia",camp
"Parque de Campismo de Salgueiros","Vila Nova de Gaia",camp
"Camping Torreira Park","Vila Nova de Gaia",camp
"NaturVeredas Refúgio da Freita","Vila Nova de Gaia",camp
"Camping Vouzela Park","Vila Nova de Gaia",camp
"Istas Garden","Vila Nova de Gaia",camp
"Amarante camping","Vila Nova de Gaia",camp
"Parque de Campismo de Esmoriz","Vila Nova de Gaia",camp
"Rural Camping Park of Vila Fria","Vila Nova de Gaia",camp
"Area Sosta Camper - Avintes","Vila Nova de Gaia",camp
"Lisboa Camping",Amadora,camp
"Camping Club Almada Municipality",Amadora,camp
"Orbitur Costa de Caparica",Amadora,camp
"Ericeira Camping",Amadora,camp
"Camping Picheleiros",Amadora,camp
"EcoParque do Outão",Amadora,camp
"SFUAP - Parque de Campismo Piedense",Amadora,camp
"Camping Vasco da Gama",Amadora,camp
"Parque de Campismo Orbitur Guincho",Amadora,camp
"Alenquer Camping",Amadora,camp
Campimeco,Amadora,camp
"Camping Praia de Santa Cruz",Amadora,camp
"Clube de Campismo de Lisboa (CCL)",Amadora,camp
"Parque Verde",Amadora,camp
"Parque de Campismo Municipal VFX",Amadora,camp
"Bellas Glamping",Amadora,camp
"Home Turistico",Amadora,camp
"Forte do Cavalo Municipal Camping Park",Amadora,camp
"Parque de Campismo Valbom",Amadora,camp
"Parque de Campismo da Lagoa",Amadora,camp
"Camping Oleiros",Coimbra,camp
"Góis Camping",Coimbra,camp
"Camping Mill",Coimbra,camp
"Orbitur Vagueira",Coimbra,camp
"Campground Serpins",Coimbra,camp
"Camping Côja",Coimbra,camp
"Vila Caia Camping",Coimbra,camp
"Parque de Campismo da Praia de Pedrogão",Coimbra,camp
"Parque de Campismo de Luso",Coimbra,camp
"Campsite Quinta Vale Do Mondego",Coimbra,camp
"Mira Lodge Park",Coimbra,camp
"Camping Costa Nova",Coimbra,camp
"Club De Camping And Caravanning De Aguada De Baixo",Coimbra,camp
"Parque de Campismo da Praia da Vieira",Coimbra,camp
"Parque Municipal de Campismo de Arganil",Coimbra,camp
"Parque de Campismo - Federação de Campismo e Montanhismo de Portugal",Coimbra,camp
"Parque de campismo de Coimbra",Coimbra,camp
Camping,Coimbra,camp
"Kampaoh Vagueira",Coimbra,camp
"Parque de Campismo da Praia da Tocha",Coimbra,camp
"Parque de Campismo de Vila Cha",Braga,camp
"Camping Orbitur Caminha park",Braga,camp
"ORBITUR Canidelo",Braga,camp
"GarfePark Camping",Braga,camp
"Cámping O Corgo Muíños",Braga,camp
"Orbitur - Angeiras",Braga,camp
"Ermida Gerês Camping",Braga,camp
"CAMPING PARK FÃO",Braga,camp
"Camping Braga",Braga,camp
"Camping Santa Tecla",Braga,camp
"Gerês Vidoeiro Camping",Braga,camp
"Camping Mondim de Basto",Braga,camp
"Parque de Campismo de Vila do Conde",Braga,camp
"Camping Covas Park",Braga,camp
"Parque Cerdeira",Braga,camp
